Clover ID,Name,Alternate Name,Description,Price,Price Type,Price Unit,Cost,Product Code,SKU,Quantity,Hidden?,Default tax rates?,Non-revenue item?,Printer Labels,Modifier Groups,Categories,Tax Rates,Variant Attribute,Variant Option
ZVWH5GBCV2X92,Prego: Italian Sauce Traditional 14 oz Bottle,,,$3.89,Fixed,,$2.22,051000025487,,,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,
R6KCF5NMT91P8,David: Sunflower Seeds - Jumbo Bar-B-Q 5.75 oz Bag (CGD),,,$2.99,Fixed,,$1.59,026200465722,026200465722,,Yes,Yes,No,,,Snacks - Nuts,,,
J5SA84ZXNR288,David: Sunflower Seeds - Jumbo Sweet & Salty 5.25 oz Bag (CGD),,,$2.99,Fixed,,$1.59,026200464633,026200464633,,Yes,Yes,No,,,Snacks - Nuts,,,
SVXAB3X5Z53KW,David: Sunflower Seeds - Jumbo Sweet & Spicy 5.25 oz Bag (CGD),,,$2.99,Fixed,,$1.59,026200464640,026200464640,,Yes,Yes,No,,,Snacks - Nuts,,,
7RX1A8WN8T1QJ,Monocacy: Hyperion's Chaos - New England IPA 16 oz / 4 pk Cans (MBD),,,$13.99,Fixed,,$9.00,051497106027,,5,No,No,No,Beer,,Alcohol - Beers,Processing Charge,,
,,,,,,,,,,,,,,,,,Alcohol Tax,,
319WC8DSQ9M3G,Scoop Away: Cat Litter 10.5 L Bag,,,$7.29,Fixed,,$4.37,,,6,No,Yes,No,,,Pet Products,,,
62P0044D99KBY,Pepcid AC: Acid Reducer 20 mg Tablets 8 ct pk,,,$9.49,Fixed,,$5.77,716837855088,716837855088,,No,No,No,,,Medicine / Vitamins,Processing Charge,,
,,,,,,,,,,,,,,,,,Retail Tax,,
5RH61TEESQW3W,Red Shedman: Blueberry Cobbler Hard Cider 12 oz / 4 pk Cans (RBD),,,$13.99,Fixed,,$9.00,642014222865,,,No,No,No,Beer,,Alcohol - Beers,Processing Charge,,
,,,,,,,,,,,,,,,,,Alcohol Tax,,
1AK2Y1XHFAT2C,Red Shedman: Cosmic Punch Hazy IPA 12 oz / 6 pk Cans (RBD),,,$17.49,Fixed,,$11.25,642014223398,,,No,No,No,Beer,,Alcohol - Beers,Processing Charge,,
,,,,,,,,,,,,,,,,,Alcohol Tax,,
Y088PNJNX8AEY,Assured: Colored Bandages 30 Count,,,$2.99,Fixed,,$1.33,639277230690,639277230690,,No,Yes,No,,,Hygiene Products,,,
5YKNFHSR7J9CT,Assured: Cotton Swabs 50 Count,,,$1.99,Fixed,,$1.33,639277102935,639277102935,,No,Yes,No,,,Hygiene Products,,,
M8MGTAEWHRQXY,Assured: Fabric Bandages 30 Ccount,,,$2.99,Fixed,,$1.33,639277079633,639277079633,,No,Yes,No,,,Hygiene Products,,,
8JV7KT3Z9AHZW,Assured: Sheer Antibacterial Bandages 40 ct,,,$2.99,Fixed,,$1.33,639277082244,639277082244,,No,Yes,No,,,Hygiene Products,,,
907J8M1TREP4E,Ice Drops: Breath Strips ,,,$2.59,Fixed,,$1.33,728947050031,728947050031,,No,Yes,No,,,Hygiene Products,,,
KHGKJKZKAH0D8,16 oz Coffee - Cappuccino,,,$2.29,Fixed,,$1.20,,,,Yes,Yes,No,,,Quick Items,,,
QTBYY7J5Z0TW6,Gambler: Silver Tube 100's (CTD),,,$6.99,Fixed,,$3.39,077170102223,077170102223,,No,No,No,,,Tobacco - OTP,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
H1A73XX0T7KJE,A.1.: Original Sauce 15 oz Bottle,,,$5.99,Fixed,,$3.37,054400000047,054400000047,,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,
97519XJKCG25E,Kool: Green Menthol 100's Pk (CTD),,,$11.20,Fixed,,$10.10,09057330,09057330,,Yes,No,No,Cigarettes,,Tobacco - Cigarettes,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
